"filename", "language", "JSON with Comments", "TypeScript", "JSON", "MS SQL", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\.prettierrc", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\README.md", "Markdown", 0, 0, 0, 0, 186, 0, 0, 0, 88, 274
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 1, 2, 36
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\nest-cli.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\package-lock.json", "JSON", 0, 0, 17812, 0, 0, 0, 0, 0, 1, 17813
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\package.json", "JSON", 0, 0, 95, 0, 0, 0, 0, 0, 1, 96
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251106165250_init\migration.sql", "MS SQL", 0, 0, 0, 36, 0, 0, 0, 9, 12, 57
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251106201015_mfa_email_otp\migration.sql", "MS SQL", 0, 0, 0, 12, 0, 0, 0, 5, 6, 23
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251107151149_split_cliente_contacto\migration.sql", "MS SQL", 0, 0, 0, 17, 0, 0, 0, 14, 7, 38
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251113061745_add_trusted_device_inverse\migration.sql", "MS SQL", 0, 0, 0, 14, 0, 0, 0, 5, 6, 25
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251113081829_add_projects_and_cotizaciones\migration.sql", "MS SQL", 0, 0, 0, 66, 0, 0, 0, 15, 18, 99
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251127210314_add_cotizacion_relaciones_y_estados\migration.sql", "MS SQL", 0, 0, 0, 8, 0, 0, 0, 12, 5, 25
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251127213700_add_indexes_cotizacion\migration.sql", "MS SQL", 0, 0, 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251203101834_add_cotizacion_items\migration.sql", "MS SQL", 0, 0, 0, 16, 0, 0, 0, 20, 6, 42
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251203110339_remove_project_type_and_study_type\migration.sql", "MS SQL", 0, 0, 0, 3, 0, 0, 0, 9, 2, 14
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251204175327_enable_cascade_delete_cotizacion_items\migration.sql", "MS SQL", 0, 0, 0, 2, 0, 0, 0, 2, 2, 6
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251210042241_add_trabajo_de_campo_fields\migration.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 0, 8, 1, 13
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\prisma\migrations\20251210071348_add_constantes_model\migration.sql", "MS SQL", 0, 0, 0, 12, 0, 0, 0, 3, 4, 19
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\app.controller.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 1, 5, 24
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\app.controller.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\app.module.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 5, 5, 53
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\app.service.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\config\configuration.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 6, 3, 23
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\config\swagger.config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 2, 2, 20
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\config\validation.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 5, 18
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\infra\database\prisma.service.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 4, 3, 20
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\main.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 8, 10, 54
"c:\Users\hpalv\OneDrive\Documentos\uniquote-api\src\modules\auth\auth.controller.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 8, 6, 78
